Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-7546	PPI // AMP // DIPHTHAMIDE // AMMONIUM // ATP // 5-METHYLTHIOADENOSINE // eEF-2-Histidines // METOH // DIPHTINE // WATER // PROTON // ADENOSYL-HOMO-CYS // Diphthine-methyl-ester-EF2 // S-ADENOSYLMETHIONINE // 2-3-CARBOXY-3-AMINOPROPYL-L-HISTIDINE	AT3G04480-MONOMER // AT5G62030-MONOMER // MONOMERQT-8435 // AT5G63010-MONOMER // AT4G31790-MONOMER	AT3G04480 // AT5G62030 // AT3G59630 // AT5G63010 // AT4G31790	RXN-15775 // RXN-15776 // RXN-11371 // DIPHTINE--AMMONIA-LIGASE-RXN	S-ADENOSYLMETHIONINE // WATER // eEF-2-Histidines // AMMONIUM // ATP	ADENOSYL-HOMO-CYS // PROTON // METOH // 5-METHYLTHIOADENOSINE // DIPHTHAMIDE // AMP // PPI	Amino-Acids-Modification
PWY-5406	LINOLEIC_ACID // CPD-8679 // CPD-8677 // LINOLENIC_ACID // OXYGEN-MOLECULE // WATER // CPD-8680 // CPD-8678	AT1G55020-MONOMER // AT3G22400-MONOMER	AT1G55020 // AT3G22400	RXN-8498 // RXN-8497 // RXN-8496 // RXN-8495	LINOLENIC_ACID // OXYGEN-MOLECULE // LINOLEIC_ACID	CPD-8680 // WATER // CPD-8679	Divinyl-Ether-Biosynthesis // Metabolic-Clusters
PWY-5409	WATER // CPD-8690 // 13-HYDROPEROXYOCTADECA-911-DIENOATE // LINOLEIC_ACID // OXYGEN-MOLECULE	AT1G17420-MONOMER // AT1G72520-MONOMER // AT3G45140-MONOMER // AT1G67560-MONOMER	AT1G17420 // AT1G72520 // AT3G45140 // AT1G67560	LIPOXYGENASE-RXN // RXN-8504	LINOLEIC_ACID // OXYGEN-MOLECULE	CPD-8690 // WATER	Divinyl-Ether-Biosynthesis
DTDPRHAMSYN-PWY	DTDP-DEOH-DEOXY-MANNOSE // NADPH // NADP // DTDP-RHAMNOSE // PPI // PROTON // GLC-1-P // TTP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // DTDP-D-GLUCOSE	AT1G63000-MONOMER // MONOMERQT-8386 // AT1G19690-MONOMER	AT1G63000 // AT4G00560 // AT1G19690	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN	PROTON // GLC-1-P // TTP // NADPH	WATER // PPI // NADP // DTDP-RHAMNOSE	dTDP-Sugar-Biosynthesis
PWY-3221	NADPH // DTDP-RHAMNOSE // NADP // DTDP-DEOH-DEOXY-GLUCOSE // WATER // PPI // DTDP-D-GLUCOSE // PROTON // GLC-1-P // TTP	AT1G63000-MONOMER // AT1G19690-MONOMER	AT1G63000 // AT1G19690	DTDPGLUCOSEPP-RXN // DTDPGLUCDEHYDRAT-RXN // RXN-5461	PROTON // GLC-1-P // TTP // NADPH	PPI // WATER // DTDP-RHAMNOSE // NADP	dTDP-L-Rhamnose-Biosynthesis
PWY-5032	GERANYLGERANYL-PP // CPD1F-128 // PPI // ENT-COPALYL-DIPHOSPHATE	AT4G02780-MONOMER // AT1G79460-MONOMER	AT4G02780 // AT1G79460	4.2.3.19-RXN // 5.5.1.13-RXN	GERANYLGERANYL-PP	PPI // CPD1F-128	GIBBERELLIN-SYN
PWY-5670	CPD-465 // Ox-NADPH-Hemoprotein-Reductases // WATER // EPOXYSQUALENE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // NAD-P-OR-NOP // PPI // SQUALENE // FARNESYL-PP // NADH-P-OR-NOP // PROTON	AT5G24150-MONOMER // AT1G58440-MONOMER // AT2G22830-MONOMER // AT4G37760-MONOMER // AT5G24160-MONOMER // AT5G24155-MONOMER // AT5G24140-MONOMER // AT4G34650-MONOMER // AT4G34640-MONOMER	AT5G24150 // AT1G58440 // AT2G22830 // AT4G37760 // AT5G24160 // AT5G24155 // AT5G24140 // AT4G34650 // AT4G34640	RXN-13162 // SQUALENE-MONOOXYGENASE-RXN	FARNESYL-PP // NADH-P-OR-NOP // PROTON // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	PPI // NAD-P-OR-NOP // EPOXYSQUALENE // WATER // Ox-NADPH-Hemoprotein-Reductases	TRITERPENOID-SYN // Lipid-Biosynthesis
PWY-5349	CARBON-DIOXIDE // SUC // CAFFEOYL-COA // 2-KETOGLUTARATE // OXYGEN-MOLECULE // CO-A // CPD-8097 // CPD-18078	AT3G12900-MONOMER // AT5G12270-MONOMER	AT3G12900 // AT5G12270	RXN-16763 // RXN-16762	CAFFEOYL-COA // 2-KETOGLUTARATE // OXYGEN-MOLECULE	CPD-8097 // CO-A // SUC // CARBON-DIOXIDE	COUMARIN-SYN
PWY-7120	CPD-11591 // CO-A // FERULOYL-COA // 16-HYDROXYPALMITATE	AT5G63560-MONOMER // AT1G03390-MONOMER // AT4G31910-MONOMER // AT5G41040-MONOMER	AT5G63560 // AT1G03390 // AT4G31910 // AT5G41040	RXN-10749	FERULOYL-COA // 16-HYDROXYPALMITATE	CO-A // CPD-11591	Metabolic-Clusters // PLANT-CELL-STRUCTURE
ETOH-ACETYLCOA-ANA-PWY	ETOH // ACETYL-COA // NADH // PROTON // NAD // CO-A // ACETALD	AT5G24760-MONOMER // AT5G42250-MONOMER // AT4G22110-MONOMER // AT1G64710-MONOMER // AT1G22430-MONOMER // AT1G32780-MONOMER // AT1G22440-MONOMER // AT2G29350-MONOMER // AT1G77120-MONOMER	AT5G24760 // AT5G42250 // AT4G22110 // AT1G64710 // AT1G22430 // AT1G32780 // AT1G22440 // AT2G29350 // AT1G77120	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN	NAD // CO-A // ETOH	PROTON // NADH // ACETYL-COA	Ethanol-Degradation
PWY66-21	ETOH // NADH // PROTON // ACETALD // NAD // WATER // AMP // PPI // ACETYL-COA // CO-A // ACET // ATP	AT5G24760-MONOMER // AT5G42250-MONOMER // AT4G22110-MONOMER // AT1G64710-MONOMER // AT1G22430-MONOMER // AT1G32780-MONOMER // AT1G22440-MONOMER // AT2G29350-MONOMER // AT1G77120-MONOMER // AT1G23800-MONOMER // AT4G36250-MONOMER // AT3G66658-MONOMER // AT4G34240-MONOMER // AT1G54100-MONOMER // AT1G44170-MONOMER // AT3G48000-MONOMER // AT5G36880-MONOMER // AT3G16910-MONOMER // AT1G55320-MONOMER // AT5G23050-MONOMER	AT5G24760 // AT5G42250 // AT4G22110 // AT1G64710 // AT1G22430 // AT1G32780 // AT1G22440 // AT2G29350 // AT1G77120 // AT1G23800 // AT4G36250 // AT3G66658 // AT4G34240 // AT1G54100 // AT1G44170 // AT3G48000 // AT5G36880 // AT3G16910 // AT1G55320 // AT5G23050	ACETATE--COA-LIGASE-RXN // RXN66-3 // ALCOHOL-DEHYDROG-RXN	CO-A // ATP // NAD // WATER // ETOH	ACETYL-COA // PPI // AMP // PROTON // NADH	Ethanol-Degradation
ETHYL-PWY	PPI // Pi // ATP // MET // 5-METHYLTHIOADENOSINE // S-ADENOSYLMETHIONINE // CARBON-DIOXIDE // HCN // L-DEHYDRO-ASCORBATE // ETHYLENE-CMPD // WATER // PROTON // ASCORBATE // CPD-68 // OXYGEN-MOLECULE	CPLX-1362 // AT3G17390-MONOMER // AT4G01850-MONOMER // AT2G36880-MONOMER // AT3G49700-MONOMER // AT4G08040-MONOMER // AT4G11280-MONOMER // AT4G26200-MONOMER // AT4G37770-MONOMER // AT5G65800-MONOMER // CPLX-1364 // CPLX-1363 // AT3G61510-MONOMER // AT1G05010-MONOMER // AT1G12010-MONOMER // AT1G62380-MONOMER // AT2G19590-MONOMER // AT1G77330-MONOMER // AT4G16770-MONOMER // AT3G50210-MONOMER // AT3G49630-MONOMER // AT3G49620-MONOMER // MONOMERQT-8325 // MONOMERQT-8283	AT1G02500 // AT3G17390 // AT4G01850 // AT2G36880 // AT3G49700 // AT4G08040 // AT4G11280 // AT4G26200 // AT4G37770 // AT5G65800 // AT2G22810 // AT1G01480 // AT3G61510 // AT1G05010 // AT1G12010 // AT1G62380 // AT2G19590 // AT1G77330 // AT4G16770 // AT3G50210 // AT3G49630 // AT3G49620 // AT4G13400 // AT4G16765	ETHYL-RXN // 4.4.1.14-RXN // S-ADENMETSYN-RXN	ASCORBATE // OXYGEN-MOLECULE // ATP // MET	ETHYLENE-CMPD // L-DEHYDRO-ASCORBATE // HCN // CARBON-DIOXIDE // 5-METHYLTHIOADENOSINE // Pi // PPI	Ethylene-Biosynthesis
PWY-5859	CO-A // CONIFERYL-ALCOHOL // ACETYL-COA // CPD-6481 // NADPH // CPD-9875 // ISOEUGENOL // ACET // NADP	AT1G31490-MONOMER // AT1G32910-MONOMER // AT1G78990-MONOMER // AT5G16410-MONOMER // AT1G75300-MONOMER // AT1G75280-MONOMER // MONOMERQT-9292 // AT4G39230-MONOMER // AT1G19540-MONOMER // ATCG00730-MONOMER	AT1G31490 // AT1G32910 // AT1G78990 // AT5G16410 // AT1G75300 // AT1G75280 // AT1G75290 // AT4G39230 // AT1G19540 // ATCG00730	RXN-9246 // RXN-9245 // RXN-9244	NADPH // CONIFERYL-ALCOHOL // ACETYL-COA	ISOEUGENOL // ACET // NADP // CPD-6481 // CO-A	CINNAMATE-SYN
PWY-6498	CARBON-DIOXIDE // PROTON // Acceptor // WATER // OXYGEN-MOLECULE // Donor-H2 // L-DOPACHROME // CPD-12373 // CPD-12374 // 56-DIHYDROXYINDOLE-2-CARBOXYLATE // DIHYDROXYINDOLE // CPD-12379 // CPD-12378	MONOMERQT-7686 // MONOMERQT-8077 // AT3G51660-MONOMER	AT5G57170 // AT5G01650 // AT3G51660	RXN-11444 // RXN-11408 // DOPACHROME-DELTA-ISOMERASE-RXN // RXN-11406 // RXN-11404 // RXN-11403	L-DOPACHROME // OXYGEN-MOLECULE // Donor-H2 // PROTON	CPD-12379 // WATER // Acceptor // CARBON-DIOXIDE	Other-biosynthesis
PWY4FS-13	CPD-7078 // GDP-D-GLUCOSE // CPDQT-4 // GLC-1-P // GDP-L-GALACTOSE // GDP-MANNOSE	AT4G26850-MONOMER // CPLX-2043	AT4G26850 // AT5G28840	RXN-1882 // RXN4FS-13 // RXN4FS-14	GLC-1-P	CPDQT-4	Sugars-And-Polysaccharides-Degradation
PWY-5725	CPD-8764 // CPD-9338 // PPI // CPD-8239 // FARNESYL-PP	AT4G16740-MONOMER // AT4G16730-MONOMER // AT5G44630-MONOMER // MONOMERQT-8242 // AT2G37140-MONOMER // MONOMERQT-9543 // AT1G33750-MONOMER // AT1G48800-MONOMER // AT1G48820-MONOMER // AT1G66020-MONOMER // AT3G14490-MONOMER // AT3G29110-MONOMER // AT3G29410-MONOMER // AT3G32030-MONOMER // AT4G15870-MONOMER // AT4G20210-MONOMER	AT4G16740 // AT4G16730 // AT5G44630 // AT4G20230 // AT2G37140 // AT1G31950 // AT1G33750 // AT1G48800 // AT1G48820 // AT1G66020 // AT3G14490 // AT3G29110 // AT3G29410 // AT3G32030 // AT4G15870 // AT4G20210	RXN-8422 // RXN-8931 // RXN-8574	FARNESYL-PP	CPD-8239 // PPI // CPD-9338 // CPD-8764	SESQUITERPENOID-SYN
PWY-6577	HYDROGEN-PEROXIDE // CYS // CPD-12581 // OXYGEN-MOLECULE // WATER // CDP // FARNESYL-PP // CPD-12587 // CTP // 2-TRANS6-TRANS-FARNESAL // NADPH // PROTON // NADP // 2-TRANS6-TRANS-FARNESOL	AT2G22650-MONOMER // AT5G63910-MONOMER // AT5G58560-MONOMER // MONOMERQT-8825	AT2G22650 // AT5G63910 // AT5G58560 // AT3G03350	FARNESOL-DEHYDROGENASE-RXN // RXN-11626 // RXN-11625 // RXN-11623	NADPH // CTP // CPD-12581 // OXYGEN-MOLECULE // WATER	NADP // FARNESYL-PP // CDP // CYS // HYDROGEN-PEROXIDE	All-Trans-Farnesyl-PP-Biosynthesis // Detoxification
PWY-2501	CPD66-39 // OXYGEN-MOLECULE // CARBON-DIOXIDE // 2R-Hydroxy-Fatty-Acids // 2R-HYDROPEROXY-FATTY-ACIDS // PROTON // NADH // Fatty-Acids // Fatty-Aldehydes // NAD // WATER	AT1G73680-MONOMER // CPLX-4102 // AT1G23800-MONOMER // AT4G36250-MONOMER // AT3G66658-MONOMER // AT4G34240-MONOMER // AT1G54100-MONOMER // AT1G44170-MONOMER	AT1G73680 // AT3G01420 // AT1G23800 // AT4G36250 // AT3G66658 // AT4G34240 // AT1G54100 // AT1G44170	RXN-4142 // RXN-4141 // RXN-4122 // RXN-4121	NAD // CPD66-39 // OXYGEN-MOLECULE	Fatty-Acids // NADH // 2R-Hydroxy-Fatty-Acids // CARBON-DIOXIDE	Fatty-Acid-Degradation
PWY-5136	PPI // AMP // CPD66-39 // ATP // WATER // PROTON // NADH // NAD // L-3-HYDROXYACYL-COA // CO-A // 3-KETOACYL-COA // ACETYL-COA // HYDROGEN-PEROXIDE // TRANS-D2-ENOYL-COA // Saturated-Fatty-Acyl-CoA // OXYGEN-MOLECULE	AT3G05970-MONOMER // AT5G27600-MONOMER // AT4G29010-MONOMER // AT3G06860-MONOMER // AT3G15290-MONOMER // AT2G33150-MONOMER // AT5G48880-MONOMER // AT1G04710-MONOMER // CPLX-7062 // CPLX-7063 // AT1G06290-MONOMER // CPLX-7064 // AT1G06310-MONOMER // AT3G06690-MONOMER // AT2G35690-MONOMER	AT3G05970 // AT5G27600 // AT4G29010 // AT3G06860 // AT3G15290 // AT2G33150 // AT5G48880 // AT1G04710 // AT4G16760 // AT5G65110 // AT1G06290 // AT3G51840 // AT1G06310 // AT3G06690 // AT2G35690	RXN-11026 // KETOACYLCOATHIOL-RXN // OHACYL-COA-DEHYDROG-RXN // ENOYL-COA-HYDRAT-RXN // ACYLCOASYN-RXN	OXYGEN-MOLECULE // CO-A // NAD // WATER // CPD66-39 // ATP	HYDROGEN-PEROXIDE // ACETYL-COA // NADH // PROTON // AMP // PPI	Fatty-Acid-Degradation
PWY-5137	TRANS-D2-ENOYL-COA // CIS-DELTA3-ENOYL-COA	AT1G65520-MONOMER // AT4G14430-MONOMER // AT4G14440-MONOMER	AT1G65520 // AT4G14430 // AT4G14440	ENOYL-COA-DELTA-ISOM-RXN	CIS-DELTA3-ENOYL-COA	TRANS-D2-ENOYL-COA	Fatty-Acid-Degradation
PWY-6837	HYDROGEN-PEROXIDE // cis-5-enoyl-CoA // OXYGEN-MOLECULE // trans-2-cis-5-dienoyl-CoA // trans-3-cis-5-dienoyl-CoA // NADP // TETRADEHYDROACYL-COA // NADPH // TRANS-D2-ENOYL-COA // Trans-3-enoyl-CoAs	AT1G06290-MONOMER // CPLX-7064 // CPLX-7062 // CPLX-7063 // AT5G43280-MONOMER // AT1G65520-MONOMER // AT4G14430-MONOMER // AT4G14440-MONOMER	AT1G06290 // AT3G51840 // AT4G16760 // AT5G65110 // AT5G43280 // AT1G65520 // AT4G14430 // AT4G14440	RXN-7836 // RXN-12521 // RXN-12520 // RXN-12519 // RXN-12518	NADPH // cis-5-enoyl-CoA // OXYGEN-MOLECULE	TRANS-D2-ENOYL-COA // NADP // HYDROGEN-PEROXIDE	Fatty-Acid-Degradation
PWY-6799	CARBON-DIOXIDE // Acetoacetyl-ACPs // PROTON // PPI // AMP // MALONATE // ATP // CO-A // MALONYL-ACP // ACP // MALONYL-COA	AT2G04540-MONOMER // AT2G30200-MONOMER	AT2G04540 // AT2G30200	MALONYL-COA-ACP-TRANSACYL-RXN // RXN-12360 // RXN-12359 // RXN-12361	MALONATE // ATP // PROTON	AMP // PPI // Acetoacetyl-ACPs // CARBON-DIOXIDE	Fatty-Acid-Biosyn-Initiation
PWY-4381	ACP // CARBON-DIOXIDE // CO-A // Acetoacetyl-ACPs // MALONYL-ACP // PROTON // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers	AT2G30200-MONOMER // AT1G62640-MONOMER	AT2G30200 // AT1G62640	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN	ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers // PROTON // ACP	biotin-L-lysine-in-BCCP-dimers // Acetoacetyl-ACPs // CO-A // CARBON-DIOXIDE	Fatty-Acid-Biosyn-Initiation
FASYN-ELONG-PWY	WATER // NADH // TRANS-D2-ENOYL-ACP // NAD // NADPH // OH-ACYL-ACP // NADP // CARBON-DIOXIDE // B-KETOACYL-ACP // ACP // Saturated-Fatty-Acyl-ACPs // MALONYL-ACP // PROTON	AT2G22230-MONOMER // AT5G10160-MONOMER // AT3G45770-MONOMER // AT2G05990-MONOMER // AT5G64250-MONOMER // CPLX-7646 // AT1G62610-MONOMER // AT2G17845-MONOMER // AT1G10310-MONOMER // AT3G55290-MONOMER // AT3G46170-MONOMER // AT3G55310-MONOMER // MONOMERQT-9399 // CPLX-7644	AT2G22230 // AT5G10160 // AT3G45770 // AT2G05990 // AT5G64250 // AT1G24360 // AT1G62610 // AT2G17845 // AT1G10310 // AT3G55290 // AT3G46170 // AT3G55310 // AT1G63380 // AT5G46290	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	MALONYL-ACP // PROTON // NADPH // NADH	ACP // CARBON-DIOXIDE // NADP // NAD // WATER	Fatty-acid-biosynthesis
PWY-8001	CPD-21114 // 2-AMINOACRYLATE // AMMONIUM // PYRUVATE // CPD-16015 // GLY // CPD-21113 // GLT // CPD-21345 // CPD-21344 // WATER	MONOMERQT-8645 // AT4G39650-MONOMER // AT4G39640-MONOMER // AT1G69820-MONOMER // AT4G29210-MONOMER	AT3G20390 // AT4G39650 // AT4G39640 // AT1G69820 // AT4G29210	RXN-19732 // RXN-19731 // RXN-15127 // RXN-15124 // RXN-19546	CPD-21344 // WATER	GLT // GLY // PYRUVATE // AMMONIUM // CPD-21114	S-CONTAINING-SECONDARY-CMPD-SYN
PWY-5168	NADH-P-OR-NOP // FERULIC-ACID // NAD-P-OR-NOP // Ox-NADPH-Hemoprotein-Reductases // CONIFERYL-ALDEHYDE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 5-HYDROXY-CONIFERALDEHYDE // NADPH // SINAPATE // PROTON // SINAPALDEHYDE // NADP // WATER	AT4G36220-MONOMER // AT5G54160-MONOMER // AT3G24503-MONOMER	AT4G36220 // AT5G54160 // AT3G24503	RXN-8014 // RXN-1143 // RXN-1142 // RXN-1241	NADP // S-ADENOSYLMETHIONINE // CONIFERYL-ALDEHYDE // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // NAD-P-OR-NOP	PROTON // SINAPATE // NADPH // ADENOSYL-HOMO-CYS // Ox-NADPH-Hemoprotein-Reductases // FERULIC-ACID // NADH-P-OR-NOP	CINNAMATE-SYN
RIBOSYN2-PWY	ADP // FAD // FMN // ATP // RIBOFLAVIN // DIMETHYL-D-RIBITYL-LUMAZINE // Pi // AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE // DIHYDROXY-BUTANONE-P // RIBULOSE-5P // NADPH // CPD-1086 // NADP // AMMONIUM // CPD-602 // FORMATE // DIAMINO-OH-PHOSPHORIBOSYLAMINO-PYR // PPI // PROTON // WATER // GTP	AT4G21470-MONOMER // AT3G48420-MONOMER // AT5G03430-MONOMER // AT5G23330-MONOMER // MONOMERQT-8021 // CPLXQT-28 // CPLXQT-27 // MONOMERQT-8336 // MONOMERQT-8742 // AT2G22450-MONOMER // AT3G47390-MONOMER // AT4G20960-MONOMER // AT5G64300-MONOMER // AT5G59750-MONOMER	AT4G21470 // AT3G48420 // AT5G03430 // AT5G23330 // AT5G08340 // AT2G20690 // AT2G44050 // AT4G11570 // AT3G10970 // AT2G22450 // AT3G47390 // AT4G20960 // AT5G64300 // AT5G59750	GTP-CYCLOHYDRO-II-RXN // RIBOFLAVINSYNDEAM-RXN // RIBOFLAVINSYNREDUC-RXN // DIOHBUTANONEPSYN-RXN // RIBOPHOSPHAT-RXN // LUMAZINESYN-RXN // RIBOFLAVIN-SYN-RXN // FADSYN-RXN // RIBOFLAVINKIN-RXN	GTP // NADPH // RIBULOSE-5P // ATP	PPI // FORMATE // AMMONIUM // NADP // Pi // FAD // ADP	Flavin-Biosynthesis
PWY1F-FLAVSYN	PPI // AMP // COUMARATE // ATP // CPD-20012 // DIHYDROKAEMPFEROL-CMPD // SUC // NARINGENIN-CMPD // OXYGEN-MOLECULE // 2-KETOGLUTARATE // WATER // NADP // CARBON-DIOXIDE // CO-A // CPD-3041 // PROTON // P-COUMAROYL-COA // MALONYL-COA // NADPH	AT1G51680-MONOMER // AT1G65060-MONOMER // AT3G21240-MONOMER // AT3G21230-MONOMER // AT4G05160-MONOMER // AT5G13930-MONOMER // AT1G53520-MONOMER // MONOMERQT-9084 // AT3G63170-MONOMER // AT5G66230-MONOMER // AT5G05270-MONOMER // AT5G66220-MONOMER // AT3G55120-MONOMER // AT3G19010-MONOMER // AT3G19000-MONOMER // MONOMERQT-9260 // AT2G06960-MONOMER // AT4G10500-MONOMER // AT2G44800-MONOMER // AT5G07480-MONOMER // AT4G10490-MONOMER // AT2G36690-MONOMER // AT3G60290-MONOMER // AT5G24530-MONOMER // AT3G51240-MONOMER // AT5G08640-MONOMER	AT1G51680 // AT1G65060 // AT3G21240 // AT3G21230 // AT4G05160 // AT5G13930 // AT1G53520 // AT2G26310 // AT3G63170 // AT5G66230 // AT5G05270 // AT5G66220 // AT3G55120 // AT3G19010 // AT3G19000 // AT1G79760 // AT2G06960 // AT4G10500 // AT2G44800 // AT5G07480 // AT4G10490 // AT2G36690 // AT3G60290 // AT5G24530 // AT3G51240 // AT5G08640	RXN-3142 // NARINGENIN-3-DIOXYGENASE-RXN // APIGNAR-RXN // NARINGENIN-CHALCONE-SYNTHASE-RXN // 4-COUMARATE--COA-LIGASE-RXN	PROTON // MALONYL-COA // NADPH // OXYGEN-MOLECULE // 2-KETOGLUTARATE // COUMARATE // ATP	CPD-3041 // CARBON-DIOXIDE // NADP // WATER // SUC // DIHYDROKAEMPFEROL-CMPD // AMP // PPI	FLAVONOID-SYN
PWY-6787	CO-A // P-COUMAROYL-COA // MALONYL-COA // CPD-20012 // CPD-431 // CPD1F-90 // DIHYDROKAEMPFEROL-CMPD // PROTON // NARINGENIN-CMPD // 5734-TETRAHYDROXYFLAVONE // CARBON-DIOXIDE // SUC // CPD-520 // CPD-474 // 2-KETOGLUTARATE // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-7214 // CPD-6994 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	AT5G13930-MONOMER // AT1G53520-MONOMER // MONOMERQT-9084 // AT3G63170-MONOMER // AT5G66230-MONOMER // AT5G05270-MONOMER // AT5G66220-MONOMER // AT3G55120-MONOMER // AT3G19010-MONOMER // AT3G19000-MONOMER // MONOMERQT-9260 // AT2G06960-MONOMER // AT4G10500-MONOMER // AT2G44800-MONOMER // AT5G07480-MONOMER // AT4G10490-MONOMER // AT2G36690-MONOMER // AT3G60290-MONOMER // AT5G24530-MONOMER // AT5G07990-MONOMER // AT3G51240-MONOMER // AT3G55970-MONOMER // AT5G43935-MONOMER // AT5G48020-MONOMER // MONOMERQT-7631 // AT5G63590-MONOMER // AT5G63595-MONOMER // MONOMERQT-7630 // AT5G08640-MONOMER	AT5G13930 // AT1G53520 // AT2G26310 // AT3G63170 // AT5G66230 // AT5G05270 // AT5G66220 // AT3G55120 // AT3G19010 // AT3G19000 // AT1G79760 // AT2G06960 // AT4G10500 // AT2G44800 // AT5G07480 // AT4G10490 // AT2G36690 // AT3G60290 // AT5G24530 // AT5G07990 // AT3G51240 // AT3G55970 // AT5G43935 // AT5G48020 // AT5G63580 // AT5G63590 // AT5G63595 // AT5G63600 // AT5G08640	RXN-7921 // RXN-527 // RXN-7775 // RXN-7687 // RXN-7652 // RXN1F-93 // NARINGENIN-3-DIOXYGENASE-RXN // RXN-7686 // APIGNAR-RXN // NARINGENIN-CHALCONE-SYNTHASE-RXN	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // 2-KETOGLUTARATE // P-COUMAROYL-COA // MALONYL-COA	CPD-7214 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-520 // SUC // CARBON-DIOXIDE // 5734-TETRAHYDROXYFLAVONE // CPD1F-90 // CPD-431 // CO-A	FLAVONOID-SYN
PWY-3101	CPD-520 // CPD1F-90 // PROTON // DIHYDROKAEMPFEROL-CMPD // Ox-NADPH-Hemoprotein-Reductases // CPD-474 // Red-NADPH-Hemoprotein-Reductases // WATER // CARBON-DIOXIDE // SUC // MYRICETIN // CPD-7087 // 2-KETOGLUTARATE // OXYGEN-MOLECULE	AT5G08640-MONOMER // AT3G61880-MONOMER // MONOMERQT-9774 // AT2G46660-MONOMER // AT5G07990-MONOMER // AT3G55970-MONOMER // AT5G43935-MONOMER // AT5G48020-MONOMER // MONOMERQT-7631 // AT5G63590-MONOMER // AT5G63595-MONOMER // MONOMERQT-7630	AT5G08640 // AT3G61880 // AT1G01190 // AT2G46660 // AT5G07990 // AT3G55970 // AT5G43935 // AT5G48020 // AT5G63580 // AT5G63590 // AT5G63595 // AT5G63600	RXN-8450 // RXN-13718 // RXN-7782 // RXN-12510 // RXN1F-93 // RXN-527 // RXN-525	2-KETOGLUTARATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // DIHYDROKAEMPFEROL-CMPD	MYRICETIN // SUC // CARBON-DIOXIDE // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON // CPD-520	FLAVONOL-SYN
PWY-2161	WATER // GLY // SER // METHYLENE-THF-GLU-N // GLT // Pi // ADP // FORMYL-THF-GLU-N // THF-GLU-N // ATP // FORMATE	AT4G37930-MONOMER // MONOMER-845 // AT4G13930-MONOMER // AT1G22020-MONOMER // AT4G32520-MONOMER // AT1G36370-MONOMER // AT4G13890-MONOMER // MONOMERQT-7856 // AT3G55630-MONOMER // AT5G05980-MONOMER // AT3G10160-MONOMER // AT1G50480-MONOMER // AT2G12280-MONOMER // AT2G12200-MONOMER	AT4G37930 // AT4G13930 // AT1G22020 // AT4G32520 // AT1G36370 // AT4G13890 // AT5G26780 // AT3G55630 // AT5G05980 // AT3G10160 // AT1G50480 // AT2G12280 // AT2G12200	FORMATETHFLIG-RXN // FORMYLTHFGLUSYNTH-RXN // RXN0-2921 // FOLYLPOLYGLUTAMATESYNTH-RXN // GLYOHMETRANS-RXN	ATP // FORMATE // GLT // SER	ADP // Pi // GLY // WATER	Folate-Biosynthesis
PWY-2161B-PMN	THF // THF-GLU-N // WATER // ADP // Pi // Folatepolyglutamate-n // GLT // ATP	CPLXQT-30 // CPLXQT-31 // AT1G78670-MONOMER // AT5G05980-MONOMER // AT3G55630-MONOMER	AT1G78660 // AT1G78680 // AT1G78670 // AT5G05980 // AT3G55630	RXN-3742 // RXN-3741	ATP // THF-GLU-N // WATER	Pi // ADP // THF	Folate-Biosynthesis
