Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PHOTOALL-PWY	E- // OXYGEN-MOLECULE // PLASTOQUINONE // Plastoquinols // Oxidized-ferredoxins // Plastocyanin-Reduced // Light // Oxidized-Plastocyanins // Reduced-ferredoxins // CARBON-DIOXIDE // G3P // DPG // NADPH // NADP // DIHYDROXY-ACETONE-PHOSPHATE // FRUCTOSE-16-DIPHOSPHATE // GAP // FRUCTOSE-6P // ERYTHROSE-4P // Pi // D-SEDOHEPTULOSE-7-P // WATER // D-SEDOHEPTULOSE-1-7-P2 // XYLULOSE-5-PHOSPHATE // ADP // D-RIBULOSE-15-P2 // PROTON // ATP // RIBULOSE-5P // RIBOSE-5P	ZEMACP048-MONOMER // ZEMACP008-MONOMER // ZEMACP007-MONOMER // ZEMACP002-MONOMER // MONOMERDQC-44035 // ZM00001D034153-MONOMER // ZM00001D041824-MONOMER // MONOMERDQC-46077 // ZM00001D016943-MONOMER // ZM00001D018163-MONOMER // MONOMERDQC-47762 // ZM00001D043167-MONOMER // ZM00001D008681-MONOMER // ZM00001D000260-MONOMER // ZM00001D018623-MONOMER // ZM00001D039715-MONOMER // MONOMERDQC-52460 // ZM00001D039852-MONOMER // ZM00001D043299-MONOMER // MONOMERDQC-55975 // ZM00001D022464-MONOMER // ZM00001D045250-MONOMER // ZM00001D010715-MONOMER // ZM00001D000282-MONOMER // ZM00001D008625-MONOMER // ZM00001D000417-MONOMER // ZEMACP052-MONOMER // ZEMACP036-MONOMER // ZEMACP012-MONOMER // ZM00001D049985-MONOMER // ZM00001D053432-MONOMER // ZM00001D006401-MONOMER // MONOMERDQC-60718 // ZM00001D018162-MONOMER // ZEMACP087-MONOMER // ZEMACP023-MONOMER // ZEMACP022-MONOMER // ZM00001D033893-MONOMER // ZM00001D000272-MONOMER // ZM00001D021370-MONOMER // ZM00001D013146-MONOMER // ZM00001D034283-MONOMER // ZM00001D003767-MONOMER // MONOMERDQC-59377 // ZEMACP032-MONOMER // ZM00001D037514-MONOMER // ZM00001D000279-MONOMER // ZM00001D051485-MONOMER // ZM00001D045698-MONOMER // MONOMERDQC-57635 // ZM00001D052595-MONOMER // ZM00001D004894-MONOMER // ZM00001D010672-MONOMER // MONOMERDQC-49826 // MONOMERDQC-53243 // ZM00001D038579-MONOMER // MONOMERDQC-58422 // ZM00001D025601-MONOMER // ZM00001D025593-MONOMER // ZM00001D025607-MONOMER // ZM00001D003429-MONOMER // ZM00001D025599-MONOMER // ZM00001D027488-MONOMER // ZM00001D029307-MONOMER // ZM00001D033237-MONOMER // MONOMERDQC-46571 // ZM00001D009835-MONOMER // MONOMERDQC-52112 // ZM00001D021310-MONOMER // MONOMERDQC-53433 // ZM00001D030216-MONOMER // MONOMERDQC-56013 // ZM00001D024005-MONOMER // ZM00001D040375-MONOMER // MONOMER-12903 // MONOMER-12902 // CPLX-5522 // ZM00001D053015-MONOMER // ZM00001D012103-MONOMER // ZM00001D028395-MONOMER // ZM00001D040084-MONOMER // MONOMERDQC-52208 // ZM00001D023559-MONOMER // MONOMERDQC-54863 // ZM00001D003968-MONOMER // MONOMERDQC-56733 // MONOMERDQC-57351 // ZM00001D051622-MONOMER // ZM00001D028562-MONOMER // ZM00001D046942-MONOMER // ZM00001D042727-MONOMER // MONOMERDQC-49375 // ZM00001D036552-MONOMER // MONOMERDQC-54019 // ZM00001D016309-MONOMER // MONOMERDQC-61076 // ZM00001D045451-MONOMER // ZM00001D042840-MONOMER // MONOMERDQC-50877 // MONOMERDQC-54287 // MONOMERDQC-54489 // MONOMERDQC-49525 // MONOMERDQC-54017 // ZM00001D017711-MONOMER // ZM00001D044548-MONOMER // MONOMERDQC-47443 // ZM00001D052482-MONOMER // MONOMERDQC-52538 // ZM00001D018936-MONOMER	ZEMACP048 // ZEMACP008 // ZEMACP007 // ZEMACP002 // ZM00001D044217 // ZM00001D034153 // ZM00001D041824 // ZM00001D011362 // ZM00001D016943 // ZM00001D018163 // ZM00001D031484 // ZM00001D043167 // ZM00001D008681 // ZM00001D000260 // ZM00001D018623 // ZM00001D039715 // ZM00001D020002 // ZM00001D039852 // ZM00001D043299 // ZM00001D030638 // ZM00001D022464 // ZM00001D045250 // ZM00001D010715 // ZM00001D000282 // ZM00001D008625 // ZM00001D000417 // ZEMACP052 // ZEMACP036 // ZEMACP012 // ZM00001D049985 // ZM00001D053432 // ZM00001D006401 // ZM00001D016134 // ZM00001D018162 // ZEMACP087 // ZEMACP023 // ZEMACP022 // ZM00001D033893 // ZM00001D000272 // ZM00001D021370 // ZM00001D013146 // ZM00001D034283 // ZM00001D003767 // ZM00001D029745 // ZEMACP032 // ZM00001D037514 // ZM00001D000279 // ZM00001D051485 // ZM00001D045698 // ZM00001D006402 // ZM00001D052595 // ZM00001D004894 // ZM00001D010672 // ZM00001D032867 // ZM00001D015376 // ZM00001D038579 // ZM00001D043194 // ZM00001D025601 // ZM00001D025593 // ZM00001D025607 // ZM00001D003429 // ZM00001D025599 // ZM00001D027488 // ZM00001D029307 // ZM00001D033237 // ZM00001D039865 // ZM00001D009835 // ZM00001D006221 // ZM00001D021310 // ZM00001D008619 // ZM00001D030216 // ZM00001D012407 // ZM00001D024005 // ZM00001D040375 // ZM00001D053015 // ZM00001D012103 // ZM00001D028395 // ZM00001D040084 // ZM00001D008491 // ZM00001D023559 // ZM00001D046553 // ZM00001D003968 // ZM00001D028270 // ZM00001D042453 // ZM00001D051622 // ZM00001D028562 // ZM00001D046942 // ZM00001D042727 // ZM00001D010172 // ZM00001D036552 // ZM00001D046962 // ZM00001D016309 // ZM00001D004171 // ZM00001D045451 // ZM00001D042840 // ZM00001D021050 // ZM00001D027841 // ZM00001D048324 // ZM00001D000164 // ZM00001D002454 // ZM00001D017711 // ZM00001D044548 // ZM00001D030701 // ZM00001D052482 // ZM00001D013135 // ZM00001D018936	Photosynthesis // Super-Pathways		RIB5PISOM-RXN // PHOSPHORIBULOKINASE-RXN // RIBULP3EPIM-RXN // SEDOHEPTULOSE-BISPHOSPHATASE-RXN // 2TRANSKETO-RXN // 1TRANSKETO-RXN // F16BDEPHOS-RXN // SEDOBISALDOL-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // 1.2.1.13-RXN // PHOSGLYPHOS-RXN // RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN // RXN-15479 // PLASTOQUINOL--PLASTOCYANIN-REDUCTASE-RXN // 1.18.1.2-RXN // PSII-RXN
PWY-5971	Hex-2-enoyl-ACPs // R-3-hydroxyhexanoyl-ACPs // 3-oxo-hexanoyl-ACPs // Butanoyl-ACPs // Acetoacetyl-ACPs // Crotonyl-ACPs // Beta-3-hydroxybutyryl-ACPs // Hexanoyl-ACPs // 3-Oxo-octanoyl-ACPs // 2-Octenoyl-ACPs // 3-Hydroxy-octanoyl-ACPs // Octanoyl-ACPs // 3-oxo-decanoyl-ACPs // Decanoyl-ACPs // 3-oxo-dodecanoyl-ACPs // R-3-hydroxydodecanoyl-ACPs // Dodec-2-enoyl-ACPs // 3-oxo-myristoyl-ACPs // R-3-hydroxymyristoyl-ACPs // Tetradec-2-enoyl-ACPs // CARBON-DIOXIDE // Myristoyl-ACPs // MALONYL-ACP // NADPH // 3-oxo-palmitoyl-ACPs // NADP // R-3-Hydroxypalmitoyl-ACPs // NADH // 2-Hexadecenoyl-ACPs // NAD // Palmitoyl-ACPs // PROTON // ACP // Dodecanoyl-ACPs // WATER // Trans-D2-decenoyl-ACPs // Beta-hydroxydecanoyl-ACPs // PALMITYL-COA // PALMITATE // AMP // PPI // LAUROYLCOA-CPD // DODECANOATE // CO-A // ATP	ZM00001D045027-MONOMER // MONOMERDQC-53474 // MONOMERDQC-46701 // ZM00001D050775-MONOMER // ZM00001D036898-MONOMER // MONOMERDQC-53242 // ZM00001D046627-MONOMER // ZM00001D016834-MONOMER // MONOMERDQC-51207 // ZM00001D045543-MONOMER // ZM00001D031453-MONOMER // MONOMERDQC-47563 // MONOMERDQC-57604 // ZM00001D030591-MONOMER // ZM00001D030276-MONOMER // ZM00001D030275-MONOMER // ZM00001D030277-MONOMER // MONOMERDQC-44713 // MONOMERDQC-44242 // ZM00001D017500-MONOMER // MONOMERDQC-50674 // ZM00001D017499-MONOMER // ZM00001D043062-MONOMER // MONOMERDQC-43227 // ZM00001D031037-MONOMER // MONOMERDQC-59861 // MONOMERDQC-52873 // ZM00001D037491-MONOMER // ZM00001D003702-MONOMER // MONOMERDQC-60296 // MONOMERDQC-60167 // MONOMERDQC-59217 // MONOMERDQC-59202 // MONOMERDQC-57823 // ZM00001D010943-MONOMER // MONOMERDQC-55554 // MONOMERDQC-55507 // MONOMERDQC-54864 // ZM00001D023351-MONOMER // MONOMERDQC-52883 // MONOMERDQC-52236 // MONOMERDQC-51307 // MONOMERDQC-50873 // ZM00001D044016-MONOMER // MONOMERDQC-43774 // MONOMERDQC-43236 // MONOMERDQC-58288 // ZM00001D047663-MONOMER	ZM00001D045027 // ZM00001D037108 // ZM00001D015816 // ZM00001D050775 // ZM00001D036898 // ZM00001D016550 // ZM00001D046627 // ZM00001D016834 // ZM00001D004042 // ZM00001D045543 // ZM00001D031453 // ZM00001D025201 // ZM00001D031267 // ZM00001D030591 // ZM00001D030276 // ZM00001D030275 // ZM00001D030277 // ZM00001D019926 // ZM00001D049975 // ZM00001D017500 // ZM00001D002727 // ZM00001D017499 // ZM00001D043062 // ZM00001D002728 // ZM00001D031037 // ZM00001D049351 // ZM00001D010180 // ZM00001D037491 // ZM00001D003702 // ZM00001D043484 // ZM00001D043376 // ZM00001D052399 // ZM00001D052485 // ZM00001D023538 // ZM00001D010943 // ZM00001D026649 // ZM00001D053009 // ZM00001D045295 // ZM00001D023351 // ZM00001D053127 // ZM00001D023238 // ZM00001D043851 // ZM00001D024723 // ZM00001D044016 // ZM00001D005019 // ZM00001D039274 // ZM00001D028868 // ZM00001D047663	Palmitate-Biosynthesis	CO-A // ATP // NADH // NADPH // MALONYL-ACP // Acetoacetyl-ACPs	RXN-16393 // RXN-9623 // RXN-9655 // 3.1.2.21-RXN // RXN-9549 // RXN-9663 // 4.2.1.61-RXN // RXN-9540 // RXN-9539 // RXN-9662 // RXN-9537 // RXN-9536 // RXN-9535 // RXN-9661 // RXN-9533 // RXN-9532 // RXN-9531 // RXN-9660 // RXN-9528 // RXN-9527 // 4.2.1.59-RXN // RXN-9659 // RXN-9524 // RXN-9523 // 4.2.1.58-RXN // RXN-9514 // RXN-9516 // RXN-9518 // RXN-9520 // RXN-9658 // RXN-9657
PWY-5139	CPD-7137 // UDP-L-RHAMNOSE // CPD-7149 // MALONYL-COA // UDP // CPD-7148 // PROTON // CPD-12575 // CPD-7144 // CPD-7383 // CAFFEOYL-COA // CO-A // CPD-7384 // P-COUMAROYL-COA // PELARGONIDIN-3-GLUCOSIDE-CMPD	ZM00001D046460-MONOMER // ZM00001D052480-MONOMER // ZM00001D052479-MONOMER // ZM00001D036159-MONOMER	ZM00001D046460 // ZM00001D052480 // ZM00001D052479 // ZM00001D036159	ANTHOCYANIN-SYN	P-COUMAROYL-COA // PELARGONIDIN-3-GLUCOSIDE-CMPD // CAFFEOYL-COA // CPD-12575 // MALONYL-COA // UDP-L-RHAMNOSE	RXN-7998 // RXN-7997 // RXN-7832 // RXN-7834 // RXN-7830 // RXN-7828
PENTOSE-P-PWY	FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // GAP // XYLULOSE-5-PHOSPHATE // RIBOSE-5P // WATER // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // PROTON // NADPH // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADP	ZM00001D011965-MONOMER // ZM00001D049559-MONOMER // MONOMERDQC-49689 // ZM00001D049560-MONOMER // ZM00001D045451-MONOMER // MONOMERDQC-54019 // ZM00001D016309-MONOMER // MONOMERDQC-61076 // MONOMERDQC-50877 // MONOMERDQC-54287 // MONOMERDQC-54489 // ZM00001D044548-MONOMER // MONOMERDQC-47443 // ZM00001D052482-MONOMER // MONOMERDQC-52538 // ZM00001D018936-MONOMER // MONOMERDQC-45469 // ZM00001D006185-MONOMER // MONOMERDQC-52505 // ZM00001D032045-MONOMER // ZM00001D042184-MONOMER // MONOMERDQC-49014 // ZM00001D049187-MONOMER // MONOMERDQC-46065 // ZM00001D017760-MONOMER // MONOMERDQC-49683 // ZM00001D015288-MONOMER // MONOMERDQC-51846 // ZM00001D029502-MONOMER // ZM00001D025288-MONOMER // MONOMERDQC-60199	ZM00001D011965 // ZM00001D049559 // ZM00001D042282 // ZM00001D049560 // ZM00001D045451 // ZM00001D046962 // ZM00001D016309 // ZM00001D004171 // ZM00001D021050 // ZM00001D027841 // ZM00001D048324 // ZM00001D044548 // ZM00001D030701 // ZM00001D052482 // ZM00001D013135 // ZM00001D018936 // ZM00001D022077 // ZM00001D006185 // ZM00001D029525 // ZM00001D032045 // ZM00001D042184 // ZM00001D035925 // ZM00001D049187 // ZM00001D025015 // ZM00001D017760 // ZM00001D047587 // ZM00001D015288 // ZM00001D003252 // ZM00001D029502 // ZM00001D025288 // ZM00001D017119	Pentose-Phosphate-Cycle // Super-Pathways		GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
NONOXIPENT-PWY	FRUCTOSE-6P // ERYTHROSE-4P // D-SEDOHEPTULOSE-7-P // GAP // XYLULOSE-5-PHOSPHATE // RIBULOSE-5P // RIBOSE-5P	ZM00001D011965-MONOMER // ZM00001D049559-MONOMER // MONOMERDQC-49689 // ZM00001D049560-MONOMER // ZM00001D045451-MONOMER // MONOMERDQC-54019 // ZM00001D016309-MONOMER // MONOMERDQC-61076 // MONOMERDQC-50877 // MONOMERDQC-54287 // MONOMERDQC-54489 // ZM00001D044548-MONOMER // MONOMERDQC-47443 // ZM00001D052482-MONOMER // MONOMERDQC-52538 // ZM00001D018936-MONOMER	ZM00001D011965 // ZM00001D049559 // ZM00001D042282 // ZM00001D049560 // ZM00001D045451 // ZM00001D046962 // ZM00001D016309 // ZM00001D004171 // ZM00001D021050 // ZM00001D027841 // ZM00001D048324 // ZM00001D044548 // ZM00001D030701 // ZM00001D052482 // ZM00001D013135 // ZM00001D018936	Pentose-Phosphate-Cycle	RIBULOSE-5P	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
OXIDATIVEPENT-PWY	WATER // CARBON-DIOXIDE // RIBULOSE-5P // CPD-2961 // PROTON // NADPH // D-6-P-GLUCONO-DELTA-LACTONE // D-glucopyranose-6-phosphate // NADP	MONOMERDQC-45469 // ZM00001D006185-MONOMER // MONOMERDQC-52505 // ZM00001D032045-MONOMER // ZM00001D042184-MONOMER // MONOMERDQC-49014 // ZM00001D049187-MONOMER // MONOMERDQC-46065 // ZM00001D017760-MONOMER // MONOMERDQC-49683 // ZM00001D015288-MONOMER // MONOMERDQC-51846 // ZM00001D029502-MONOMER // ZM00001D025288-MONOMER // MONOMERDQC-60199	ZM00001D022077 // ZM00001D006185 // ZM00001D029525 // ZM00001D032045 // ZM00001D042184 // ZM00001D035925 // ZM00001D049187 // ZM00001D025015 // ZM00001D017760 // ZM00001D047587 // ZM00001D015288 // ZM00001D003252 // ZM00001D029502 // ZM00001D025288 // ZM00001D017119	Pentose-Phosphate-Cycle	D-glucopyranose-6-phosphate // NADP // WATER	GLU6PDEHYDROG-RXN // RXN-9952 // 6PGLUCONOLACT-RXN
PWY-7075	CO-A // CPD-14529 // CPD-7035 // ACETYL-COA	ZM00001D004491-MONOMER // ZM00001D036218-MONOMER	ZM00001D004491 // ZM00001D036218	AROMATIC-COMPOUNDS-BIOSYN // Interconversion // SECONDARY-METABOLITE-BIOSYNTHESIS	CPD-7035 // ACETYL-COA	RXN-13542
PWY-361	PPI // AMP // COUMARATE // ATP // COUMARALDEHYDE // COUMARYL-ALCOHOL // SINAPYL-ALCOHOL // FERULOYL-COA // SINAPALDEHYDE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 5-HYDROXY-CONIFERALDEHYDE // CPD-412 // P-COUMAROYL-COA // SHIKIMATE // CAFFEOYLSHIKIMATE // QUINATE // CAFFEOYL-COA // CO-A // Ox-NADPH-Hemoprotein-Reductases // WATER // CAFFEOYLQUINATE // 4-COUMAROYLQUINATE // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADPH // CONIFERYL-ALDEHYDE // CONIFERYL-ALCOHOL // NADP	ZM00001D032107-MONOMER // ZM00001D011163-MONOMER // ZM00001D052096-MONOMER // MONOMERDQC-49533 // ZM00001D018660-MONOMER // MONOMERDQC-52267 // ZM00001D032103-MONOMER // ZM00001D027499-MONOMER // ZM00001D048446-MONOMER // MONOMERDQC-59943 // MONOMERDQC-60943 // GDQC-105652-MONOMER // ZM00001D045101-MONOMER // MONOMERDQC-48854 // MONOMERDQC-52338 // ZM00001D046333-MONOMER // ZM00001D050417-MONOMER // ZM00001D046713-MONOMER // ZM00001D006037-MONOMER // MONOMERDQC-57181 // MONOMERDQC-49057 // MONOMERDQC-49740 // MONOMERDQC-58220 // MONOMERDQC-59918 // ZM00001D052842-MONOMER // ZM00001D013862-MONOMER // ZM00001D032467-MONOMER // ZM00001D032468-MONOMER // MONOMERDQC-44488 // ZM00001D035865-MONOMER // MONOMERDQC-48035 // MONOMERDQC-50622 // ZM00001D003129-MONOMER // ZM00001D031893-MONOMER // ZM00001D039956-MONOMER // ZM00001D039840-MONOMER // ZM00001D051334-MONOMER // MONOMERDQC-57183 // ZM00001D018367-MONOMER // ZM00001D045092-MONOMER // ZM00001D005607-MONOMER // ZM00001D039951-MONOMER // ZM00001D049704-MONOMER // ZM00001D042826-MONOMER // ZM00001D010079-MONOMER // ZM00001D012333-MONOMER // ZM00001D035057-MONOMER // ZM00001D020528-MONOMER // ZM00001D038555-MONOMER // ZM00001D043174-MONOMER // ZM00001D027391-MONOMER // ZM00001D005184-MONOMER // GDQC-113233-MONOMER	ZM00001D032107 // ZM00001D011163 // ZM00001D052096 // ZM00001D050224 // ZM00001D018660 // ZM00001D051529 // ZM00001D032103 // ZM00001D027499 // ZM00001D048446 // ZM00001D027711 // ZM00001D015459 // GDQC-105652 // ZM00001D045101 // ZM00001D020957 // ZM00001D020958 // ZM00001D046333 // ZM00001D050417 // ZM00001D046713 // ZM00001D006037 // ZM00001D020961 // ZM00001D005998 // ZM00001D024596 // ZM00001D036293 // ZM00001D045206 // ZM00001D052842 // ZM00001D013862 // ZM00001D032467 // ZM00001D032468 // ZM00001D039952 // ZM00001D035865 // ZM00001D039837 // ZM00001D039947 // ZM00001D003129 // ZM00001D031893 // ZM00001D039956 // ZM00001D039840 // ZM00001D051334 // ZM00001D017186 // ZM00001D018367 // ZM00001D045092 // ZM00001D005607 // ZM00001D039951 // ZM00001D049704 // ZM00001D042826 // ZM00001D010079 // ZM00001D012333 // ZM00001D035057 // ZM00001D020528 // ZM00001D038555 // ZM00001D043174 // ZM00001D027391 // ZM00001D005184 // GDQC-113233	LIGNIN-SYN // SECONDARY-CELL-WALL	NADPH // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // S-ADENOSYLMETHIONINE // COUMARATE // ATP	RXN-2602 // 1.14.13.36-RXN // RXN-2622 // RXN-2621 // 2.3.1.133-RXN // RXN-2601 // RXN-2581 // RXN-1143 // RXN-1142 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-1125 // RXN-1102 // RXN-1106 // RXN-1101 // 4-COUMARATE--COA-LIGASE-RXN
PWY1F-467	AMMONIUM // PHE // Ox-NADPH-Hemoprotein-Reductases // WATER // COUMARATE // CPD-674 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	MONOMERDQC-42977 // ZM00001D051164-MONOMER // ZM00001D053619-MONOMER // MONOMERDQC-43671 // ZM00001D029015-MONOMER // MONOMERDQC-46466 // MONOMERDQC-46478 // ZM00001D020933-MONOMER // ZM00001D033286-MONOMER // ZM00001D041448-MONOMER // ZM00001D017279-MONOMER // ZM00001D017276-MONOMER // ZM00001D027249-MONOMER // ZM00001D003015-MONOMER // ZM00001D051426-MONOMER // MONOMERDQC-55191 // ZM00001D022167-MONOMER // ZM00001D008712-MONOMER // ZM00001D042538-MONOMER // ZM00001D051166-MONOMER // MONOMERDQC-53468 // ZM00001D016471-MONOMER // ZM00001D012510-MONOMER // MONOMERDQC-61109	ZM00001D017275 // ZM00001D051164 // ZM00001D053619 // ZM00001D051163 // ZM00001D029015 // ZM00001D003016 // ZM00001D051161 // ZM00001D020933 // ZM00001D033286 // ZM00001D041448 // ZM00001D017279 // ZM00001D017276 // ZM00001D027249 // ZM00001D003015 // ZM00001D051426 // ZM00001D017274 // ZM00001D022167 // ZM00001D008712 // ZM00001D042538 // ZM00001D051166 // ZM00001D037849 // ZM00001D016471 // ZM00001D012510 // ZM00001D009858	CINNAMATE-SYN	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PHE	TRANS-CINNAMATE-4-MONOOXYGENASE-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN
PWY-6515	UDP // CPD-12447 // CPD-12575 // CARBON-DIOXIDE // CO-A // PHLORETIN // MALONYL-COA // PROTON // NADPH // P-COUMAROYL-COA // CPD-12449 // NADP	ZM00001D043752-MONOMER // ZM00001D011649-MONOMER // ZM00001D045952-MONOMER	ZM00001D043752 // ZM00001D011649 // ZM00001D045952	FLAVONOID-SYN	P-COUMAROYL-COA // NADPH // PROTON // MALONYL-COA // CPD-12575	RXN-11467 // RXN-11468 // RXN-11465
PWY-6348	Alcohols // Pi // WATER // Orthophosphoric-Monoesters	ZM00001D033566-MONOMER // ZM00001D046593-MONOMER // ZM00001D046049-MONOMER // ZM00001D028368-MONOMER // MONOMERDQC-44077 // ZM00001D010373-MONOMER // ZM00001D045404-MONOMER // ZM00001D023404-MONOMER // MONOMERDQC-45891 // ZM00001D011734-MONOMER // ZM00001D039195-MONOMER // ZM00001D037681-MONOMER // MONOMERDQC-47282 // MONOMERDQC-47390 // MONOMERDQC-48619 // ZM00001D025343-MONOMER // MONOMERDQC-50796 // MONOMERDQC-50872 // ZM00001D023410-MONOMER // ZM00001D043621-MONOMER // ZM00001D037680-MONOMER // ZM00001D036978-MONOMER // MONOMERDQC-54027 // MONOMERDQC-54115 // ZM00001D036107-MONOMER // ZM00001D053145-MONOMER // ZM00001D022431-MONOMER // ZM00001D009929-MONOMER // ZM00001D011284-MONOMER // ZM00001D029038-MONOMER // MONOMERDQC-59784	ZM00001D033566 // ZM00001D046593 // ZM00001D046049 // ZM00001D028368 // ZM00001D000344 // ZM00001D010373 // ZM00001D045404 // ZM00001D023404 // ZM00001D023918 // ZM00001D011734 // ZM00001D039195 // ZM00001D037681 // ZM00001D016907 // ZM00001D028367 // ZM00001D053099 // ZM00001D025343 // ZM00001D003990 // ZM00001D033056 // ZM00001D023410 // ZM00001D043621 // ZM00001D037680 // ZM00001D036978 // ZM00001D043291 // ZM00001D053094 // ZM00001D036107 // ZM00001D053145 // ZM00001D022431 // ZM00001D009929 // ZM00001D011284 // ZM00001D029038 // ZM00001D031963	Phosphorus-Compounds	WATER // Orthophosphoric-Monoesters	ACID-PHOSPHATASE-RXN
PWY-7039	Pi // CHOLINE // PHOSPHATIDYLCHOLINE // ADP // DIACYLGLYCEROL-PYROPHOSPHATE // L-PHOSPHATIDATE // ATP // PROTON // INOSITOL-1-4-5-TRISPHOSPHATE // DIACYLGLYCEROL // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER	MONOMERDQC-43759 // MONOMERDQC-44019 // MONOMERDQC-45134 // ZM00001D006042-MONOMER // ZM00001D020966-MONOMER // MONOMERDQC-49984 // MONOMERDQC-57252 // MONOMERDQC-58110 // MONOMERDQC-58974 // MONOMERDQC-59385 // MONOMERDQC-59609 // MONOMERDQC-60873 // ZM00001D018333-MONOMER // MONOMERDQC-43884 // MONOMERDQC-44358 // MONOMERDQC-46951 // MONOMERDQC-51897 // ZM00001D029397-MONOMER // MONOMERDQC-48593 // ZM00001D015256-MONOMER // MONOMERDQC-50893 // MONOMERDQC-51104 // MONOMERDQC-51439 // ZM00001D046508-MONOMER // ZM00001D005770-MONOMER // ZM00001D037643-MONOMER // MONOMERDQC-55239 // MONOMERDQC-56732 // ZM00001D037946-MONOMER // ZM00001D015033-MONOMER // MONOMERDQC-57310 // MONOMERDQC-57986 // MONOMERDQC-58062 // ZM00001D042763-MONOMER // MONOMERDQC-59909 // ZM00001D006262-MONOMER // MONOMERDQC-60395 // ZM00001D040058-MONOMER // MONOMERDQC-60694 // MONOMERDQC-61040 // ZM00001D009075-MONOMER // MONOMERDQC-46299 // MONOMERDQC-53073 // MONOMERDQC-53248 // MONOMERDQC-58276 // MONOMERDQC-58618	ZM00001D018608 // ZM00001D030770 // ZM00001D033807 // ZM00001D006042 // ZM00001D020966 // ZM00001D027445 // ZM00001D029550 // ZM00001D024192 // ZM00001D024212 // ZM00001D023979 // ZM00001D002163 // ZM00001D043263 // ZM00001D018333 // ZM00001D005579 // ZM00001D020040 // ZM00001D032379 // ZM00001D038908 // ZM00001D029397 // ZM00001D027386 // ZM00001D015256 // ZM00001D015818 // ZM00001D023573 // ZM00001D022594 // ZM00001D046508 // ZM00001D005770 // ZM00001D037643 // ZM00001D006257 // ZM00001D029684 // ZM00001D037946 // ZM00001D015033 // ZM00001D008727 // ZM00001D005484 // ZM00001D036718 // ZM00001D042763 // ZM00001D050470 // ZM00001D006262 // ZM00001D011604 // ZM00001D040058 // ZM00001D039670 // ZM00001D008781 // ZM00001D009075 // ZM00001D047447 // ZM00001D028746 // ZM00001D014903 // ZM00001D014906 // ZM00001D007229	Phospholipid-Biosynthesis	PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // WATER // ATP // PHOSPHATIDYLCHOLINE	3.1.4.11-RXN // RXN-13336 // PHOSCHOL-RXN // RXN-11277 // DIACYLGLYKIN-RXN
